transaction_id,timestamp,date,hour,merchant_id,customer_id,amount,currency,payment_method,status,error_code,root_cause,recovery_strategy,retry_count,subscription_id,merchant_config,hour_int,recovered,attempts_made
txn_000143,2024-01-15 23:40:00,2024-01-15,23,m_test_123456,cust_2530,9445,INR,netbanking,failed,incorrect_cvv,CUSTOMER_SIDE,Ask customer to retry with correct details,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",23,False,2
txn_000144,2024-01-15 23:50:00,2024-01-15,23,m_test_123456,cust_4262,6085,INR,upi,failed,authentication_failed,CUSTOMER_SIDE,"Retry with different payment method (UPI if was card, etc)",0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",23,False,2
txn_000145,2024-01-16 00:00:00,2024-01-16,0,m_test_123456,cust_5011,1400,INR,card,failed,transaction_daily_limit_exceeded,CUSTOMER_SIDE,Wait 24h or ask customer to use different method,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,False,2
txn_000146,2024-01-16 00:10:00,2024-01-16,0,m_test_123456,cust_7790,2193,INR,wallet,failed,issuer_technical_error,SYSTEM_SIDE,"Retry with exponential backoff (5s, 10s, 20s, stop after 3)",0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,False,3
txn_000147,2024-01-16 00:20:00,2024-01-16,0,m_test_123456,cust_9099,4185,INR,wallet,failed,invalid_request,MERCHANT_SIDE,STOP retries. Flag for merchant review. Escalate to support.,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,False,0
txn_000148,2024-01-16 00:30:00,2024-01-16,0,m_test_123456,cust_1090,4997,INR,upi,failed,bank_not_available,SYSTEM_SIDE,"Retry with exponential backoff (5s, 10s, 20s, stop after 3)",0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,True,2
txn_000149,2024-01-16 00:40:00,2024-01-16,0,m_test_123456,cust_3881,7965,INR,upi,failed,transaction_limit_exceeded,CUSTOMER_SIDE,"Retry with different payment method (UPI if was card, etc)",0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,False,2
txn_000150,2024-01-16 00:50:00,2024-01-16,0,m_test_123456,cust_1822,9486,INR,wallet,failed,invalid_order_id,MERCHANT_SIDE,STOP retries. Flag for merchant review. Escalate to support.,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",0,False,0
txn_000268,2024-01-16 19:30:00,2024-01-16,19,m_test_123456,cust_9998,4335,INR,netbanking,failed,card_expired,CUSTOMER_SIDE,"Retry with different payment method (UPI if was card, etc)",0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",19,False,2
txn_000269,2024-01-16 19:40:00,2024-01-16,19,m_test_123456,cust_2989,8178,INR,wallet,failed,transaction_daily_limit_exceeded,CUSTOMER_SIDE,Wait 24h or ask customer to use different method,0,,"{'gateway_version': 'v2.1', 'retry_enabled': True, 'max_retries': 3}",19,False,2
